Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belarus,BLR,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.47311783,,47.59358215,,38.82978821,,33.86243439,37.56613922,25.61576271,26.8292675,36.5853653,34.46601868,34.46601868,33.97129059,30.95238113,31.7535553,39.8104248,42.18009567,51.44230652,46.66666794,49.04761887,47.1428566,50.95238113,56.19047546,49.52381134,47.61904907,31.60377312
Belize,BLZ,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.45161438,,54.54545593,,56.38298035,,54.4973526,56.08465576,53.69458008,51.21951294,44.39024353,48.05825424,47.08737946,59.33014297,56.66666794,48.3412323,57.81990433,58.76777267,52.88461685,51.42856979,48.57143021,44.76190567,50.47618866,49.04761887,46.19047546,44.2857132,48.11320877
Bermuda,BMU,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.09677124,,89.30480957,,88.29787445,,87.83068848,88.35978699,88.17733765,88.29268646,88.29268646,88.34951782,87.37863922,87.55980682,88.09523773,87.20378876,87.20378876,86.7298584,87.0192337,85.7142868,87.14286041,86.19047546,86.19047546,87.14286041,88.57142639,88.57142639,88.679245
Bolivia,BOL,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2688179,,40.64171219,,40.42553329,,22.22222137,23.28042412,24.63054276,24.39024353,39.51219559,39.80582428,35.92232895,29.18660355,40,34.12322235,27.48815155,35.0710907,30.28846169,26.66666603,24.2857151,26.66666603,27.61904716,25.7142849,22.38095284,20.47619057,20.75471687
Brazil,BRA,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.98924637,,56.1497345,,57.97872162,,58.73015976,59.7883606,54.67980194,51.70731735,53.17073059,54.85437012,57.76699066,56.45933151,60.47618866,63.03317642,56.39810562,54.9763031,44.23077011,40.95238113,39.52381134,35.7142868,38.09523773,40,37.61904907,34.2857132,32.07546997
Barbados,BRB,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.86021423,,90.90908813,,90.95744324,,91.0052948,91.0052948,91.13300323,90.73170471,89.75609589,91.26213837,90.29125977,89.95215607,90.47618866,92.89099884,92.41706085,91.4691925,82.69230652,90,87.61904907,89.04762268,88.57142639,83.33333588,84.76190186,84.76190186,89.15093994
Brunei Darussalam,BRN,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.50537872,,64.70587921,,65.42552948,,66.13756561,66.13756561,68.96551514,61.46341324,61.95121765,62.13592148,71.35922241,79.9043045,77.61904907,76.7772522,71.09004974,72.51184845,69.71154022,67.61904907,66.66666412,73.33333588,78.57142639,77.61904907,85.7142868,85.23809814,83.96226501
Bhutan,BTN,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.18279266,,81.28342438,,71.27659607,,70.89946747,82.01058197,80.78817749,79.02439117,77.56097412,78.1553421,78.64077759,79.42583466,79.52381134,77.25118256,79.14691925,79.14691925,88.46154022,80.95237732,81.42857361,90.95237732,91.42857361,91.42857361,93.33333588,90.47618866,90.09433746
Botswana,BWA,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4193573,,78.07486725,,78.19149017,,74.6031723,85.18518829,79.80295563,82.92682648,79.02439117,79.61164856,81.06796265,78.94736481,80.95237732,79.62084961,78.1990509,77.72512054,76.92308044,76.66666412,79.52381134,75.7142868,76.19047546,74.2857132,71.42857361,74.76190186,74.05660248
Central African Republic,CAF,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2903223,,11.76470566,,7.978723526,,18.51851845,12.16931248,1.970443368,7.804878235,8.292682648,8.252427101,11.65048504,18.18181801,18.09523773,18.00947952,16.587677,12.32227516,11.05769253,7.142857075,8.571428299,11.4285717,10.47619057,10.47619057,9.523809433,10.95238113,8.962264061
